Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	86.663	98.903	500	1600	S11_20180330_140005	SVM	0.158	female.gibbon
2	Spectrogram 1	1	86.663	98.903	500	1600	S11_20180330_140005	RF	0.25	female.gibbon
3	Spectrogram 1	1	135.405	147.435	500	1600	S11_20180330_140005	SVM	0.037	female.gibbon
4	Spectrogram 1	1	135.405	147.435	500	1600	S11_20180330_140005	RF	0.17	female.gibbon
5	Spectrogram 1	1	652.072	657.782	500	1600	S11_20180330_140005	SVM	0.055	female.gibbon
6	Spectrogram 1	1	652.072	657.782	500	1600	S11_20180330_140005	RF	0.178	female.gibbon
7	Spectrogram 1	1	666.702	672.582	500	1600	S11_20180330_140005	SVM	0.053	female.gibbon
8	Spectrogram 1	1	666.702	672.582	500	1600	S11_20180330_140005	RF	0.11	female.gibbon
9	Spectrogram 1	1	1015.034	1020.984	500	1600	S11_20180330_140005	SVM	0.009	female.gibbon
10	Spectrogram 1	1	1015.034	1020.984	500	1600	S11_20180330_140005	RF	0.082	female.gibbon
11	Spectrogram 1	1	1053.385	1059.725	500	1600	S11_20180330_140005	SVM	0.037	female.gibbon
12	Spectrogram 1	1	1053.385	1059.725	500	1600	S11_20180330_140005	RF	0.118	female.gibbon
13	Spectrogram 1	1	2858.935	2865.076	500	1600	S11_20180330_140005	SVM	0.112	female.gibbon
14	Spectrogram 1	1	2858.935	2865.076	500	1600	S11_20180330_140005	RF	0.206	female.gibbon
15	Spectrogram 1	1	3535.038	3542.348	500	1600	S11_20180330_140005	SVM	0.033	female.gibbon
16	Spectrogram 1	1	3535.038	3542.348	500	1600	S11_20180330_140005	RF	0.118	female.gibbon
17	Spectrogram 1	1	4177.129	4182.449	500	1600	S11_20180330_140005	SVM	0.028	female.gibbon
18	Spectrogram 1	1	4177.129	4182.449	500	1600	S11_20180330_140005	RF	0.12	female.gibbon
19	Spectrogram 1	1	4210.43	4216.841	500	1600	S11_20180330_140005	SVM	0.013	female.gibbon
20	Spectrogram 1	1	4210.43	4216.841	500	1600	S11_20180330_140005	RF	0.114	female.gibbon
21	Spectrogram 1	1	5061.819	5067.439	500	1600	S11_20180330_140005	SVM	0.051	female.gibbon
22	Spectrogram 1	1	5061.819	5067.439	500	1600	S11_20180330_140005	RF	0.12	female.gibbon
23	Spectrogram 1	1	5500.373	5505.774	500	1600	S11_20180330_140005	SVM	0.021	female.gibbon
24	Spectrogram 1	1	5500.373	5505.774	500	1600	S11_20180330_140005	RF	0.08	female.gibbon
25	Spectrogram 1	1	5688.72	5694.42	500	1600	S11_20180330_140005	SVM	0.092	female.gibbon
26	Spectrogram 1	1	5688.72	5694.42	500	1600	S11_20180330_140005	RF	0.12	female.gibbon
27	Spectrogram 1	1	6090.993	6109.844	500	1600	S11_20180330_140005	SVM	0.153	female.gibbon
28	Spectrogram 1	1	6090.993	6109.844	500	1600	S11_20180330_140005	RF	0.392	female.gibbon
29	Spectrogram 1	1	6111.384	6129.624	500	1600	S11_20180330_140005	SVM	0.239	female.gibbon
30	Spectrogram 1	1	6111.384	6129.624	500	1600	S11_20180330_140005	RF	0.403	female.gibbon
31	Spectrogram 1	1	6140.675	6155.205	500	1600	S11_20180330_140005	SVM	0.265	female.gibbon
32	Spectrogram 1	1	6140.675	6155.205	500	1600	S11_20180330_140005	RF	0.49	female.gibbon
33	Spectrogram 1	1	7149.224	7162.875	500	1600	S11_20180330_140005	SVM	0.079	female.gibbon
34	Spectrogram 1	1	7149.224	7162.875	500	1600	S11_20180330_140005	RF	0.174	female.gibbon
