Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	32.971	38.811	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
2	Spectrogram 1	1	32.971	38.811	500	1600	S19_20180214_080003	RF	0.44	female.gibbon
3	Spectrogram 1	1	99.223	106.764	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
4	Spectrogram 1	1	99.223	106.764	500	1600	S19_20180214_080003	RF	0.5	female.gibbon
5	Spectrogram 1	1	114.344	121.284	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
6	Spectrogram 1	1	114.344	121.284	500	1600	S19_20180214_080003	RF	0.462	female.gibbon
7	Spectrogram 1	1	147.125	155.515	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
8	Spectrogram 1	1	147.125	155.515	500	1600	S19_20180214_080003	RF	0.444	female.gibbon
9	Spectrogram 1	1	176.886	183.706	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
10	Spectrogram 1	1	176.886	183.706	500	1600	S19_20180214_080003	RF	0.568	female.gibbon
11	Spectrogram 1	1	195.397	205.037	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
12	Spectrogram 1	1	195.397	205.037	500	1600	S19_20180214_080003	RF	0.558	female.gibbon
13	Spectrogram 1	1	300	315.801	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
14	Spectrogram 1	1	300	315.801	500	1600	S19_20180214_080003	RF	0.486	female.gibbon
15	Spectrogram 1	1	317.711	329.471	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
16	Spectrogram 1	1	317.711	329.471	500	1600	S19_20180214_080003	RF	0.359	female.gibbon
17	Spectrogram 1	1	782.086	793.426	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
18	Spectrogram 1	1	782.086	793.426	500	1600	S19_20180214_080003	RF	0.058	female.gibbon
19	Spectrogram 1	1	1263.302	1273.902	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
20	Spectrogram 1	1	1263.302	1273.902	500	1600	S19_20180214_080003	RF	0.046	female.gibbon
21	Spectrogram 1	1	1388.776	1404.647	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
22	Spectrogram 1	1	1388.776	1404.647	500	1600	S19_20180214_080003	RF	0.74	female.gibbon
23	Spectrogram 1	1	1423.988	1436.688	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
24	Spectrogram 1	1	1423.988	1436.688	500	1600	S19_20180214_080003	RF	0.422	female.gibbon
25	Spectrogram 1	1	1470.909	1484.7	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
26	Spectrogram 1	1	1470.909	1484.7	500	1600	S19_20180214_080003	RF	0.33	female.gibbon
27	Spectrogram 1	1	1507.52	1532.851	500	1600	S19_20180214_080003	SVM	0.5	female.gibbon
