Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	10.94	17.041	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
2	Spectrogram 1	1	10.94	17.041	500	1600	S11_20180313_080003	RF	0.22	female.gibbon
3	Spectrogram 1	1	38.481	45.002	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
4	Spectrogram 1	1	38.481	45.002	500	1600	S11_20180313_080003	RF	0.536	female.gibbon
5	Spectrogram 1	1	78.363	91.903	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
6	Spectrogram 1	1	78.363	91.903	500	1600	S11_20180313_080003	RF	0.558	female.gibbon
7	Spectrogram 1	1	126.884	138.015	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
8	Spectrogram 1	1	126.884	138.015	500	1600	S11_20180313_080003	RF	0.606	female.gibbon
9	Spectrogram 1	1	903.12	915.721	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
10	Spectrogram 1	1	903.12	915.721	500	1600	S11_20180313_080003	RF	0.038	female.gibbon
11	Spectrogram 1	1	1844.371	1854.242	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
12	Spectrogram 1	1	1844.371	1854.242	500	1600	S11_20180313_080003	RF	0.182	female.gibbon
13	Spectrogram 1	1	2380.019	2390.92	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
14	Spectrogram 1	1	2380.019	2390.92	500	1600	S11_20180313_080003	RF	0.034	female.gibbon
15	Spectrogram 1	1	2657.509	2662.829	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
16	Spectrogram 1	1	2657.509	2662.829	500	1600	S11_20180313_080003	RF	0.1	female.gibbon
17	Spectrogram 1	1	2749.122	2761.652	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
18	Spectrogram 1	1	2749.122	2761.652	500	1600	S11_20180313_080003	RF	0.1	female.gibbon
19	Spectrogram 1	1	2762.962	2772.772	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
20	Spectrogram 1	1	2762.962	2772.772	500	1600	S11_20180313_080003	RF	0.112	female.gibbon
21	Spectrogram 1	1	2774.212	2805.734	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
22	Spectrogram 1	1	2774.212	2805.734	500	1600	S11_20180313_080003	RF	0.143	female.gibbon
23	Spectrogram 1	1	4066.996	4072.046	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
24	Spectrogram 1	1	4066.996	4072.046	500	1600	S11_20180313_080003	RF	0.058	female.gibbon
25	Spectrogram 1	1	4185.51	4191.92	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
26	Spectrogram 1	1	4185.51	4191.92	500	1600	S11_20180313_080003	RF	0.086	female.gibbon
27	Spectrogram 1	1	4801.95	4807.86	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
28	Spectrogram 1	1	4801.95	4807.86	500	1600	S11_20180313_080003	RF	0.038	female.gibbon
29	Spectrogram 1	1	5262.345	5268.036	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
30	Spectrogram 1	1	5262.345	5268.036	500	1600	S11_20180313_080003	RF	0.08	female.gibbon
31	Spectrogram 1	1	5587.586	5593.396	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
32	Spectrogram 1	1	5587.586	5593.396	500	1600	S11_20180313_080003	RF	0.05	female.gibbon
33	Spectrogram 1	1	5844.385	5852.505	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
34	Spectrogram 1	1	5844.385	5852.505	500	1600	S11_20180313_080003	RF	0.028	female.gibbon
35	Spectrogram 1	1	5875.806	5899.697	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
36	Spectrogram 1	1	5875.806	5899.697	500	1600	S11_20180313_080003	RF	0.03	female.gibbon
37	Spectrogram 1	1	5941.518	5959.879	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
38	Spectrogram 1	1	5941.518	5959.879	500	1600	S11_20180313_080003	RF	0.068	female.gibbon
39	Spectrogram 1	1	6146.155	6156.675	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
40	Spectrogram 1	1	6146.155	6156.675	500	1600	S11_20180313_080003	RF	0.086	female.gibbon
41	Spectrogram 1	1	6166.626	6176.516	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
42	Spectrogram 1	1	6166.626	6176.516	500	1600	S11_20180313_080003	RF	0.07	female.gibbon
43	Spectrogram 1	1	6186.786	6193.196	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
44	Spectrogram 1	1	6186.786	6193.196	500	1600	S11_20180313_080003	RF	0.17	female.gibbon
45	Spectrogram 1	1	6194.747	6201.957	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
46	Spectrogram 1	1	6194.747	6201.957	500	1600	S11_20180313_080003	RF	0.066	female.gibbon
47	Spectrogram 1	1	6213.567	6251.948	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
48	Spectrogram 1	1	6213.567	6251.948	500	1600	S11_20180313_080003	RF	0.058	female.gibbon
49	Spectrogram 1	1	6269.629	6276.839	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
50	Spectrogram 1	1	6269.629	6276.839	500	1600	S11_20180313_080003	RF	0.172	female.gibbon
51	Spectrogram 1	1	6286.13	6294.95	500	1600	S11_20180313_080003	SVM	0.5	female.gibbon
52	Spectrogram 1	1	6286.13	6294.95	500	1600	S11_20180313_080003	RF	0.066	female.gibbon
