Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	86.663	98.903	500	1600	S11_20180330_140005	SVM	0.439	female.gibbon
2	Spectrogram 1	1	86.663	98.903	500	1600	S11_20180330_140005	RF	0.322	female.gibbon
3	Spectrogram 1	1	135.405	147.435	500	1600	S11_20180330_140005	SVM	0.174	female.gibbon
4	Spectrogram 1	1	135.405	147.435	500	1600	S11_20180330_140005	RF	0.21	female.gibbon
5	Spectrogram 1	1	652.072	657.782	500	1600	S11_20180330_140005	SVM	0.187	female.gibbon
6	Spectrogram 1	1	652.072	657.782	500	1600	S11_20180330_140005	RF	0.23	female.gibbon
7	Spectrogram 1	1	666.702	672.582	500	1600	S11_20180330_140005	SVM	0.186	female.gibbon
8	Spectrogram 1	1	666.702	672.582	500	1600	S11_20180330_140005	RF	0.164	female.gibbon
9	Spectrogram 1	1	1015.034	1020.984	500	1600	S11_20180330_140005	SVM	0.081	female.gibbon
10	Spectrogram 1	1	1015.034	1020.984	500	1600	S11_20180330_140005	RF	0.146	female.gibbon
11	Spectrogram 1	1	1053.385	1059.725	500	1600	S11_20180330_140005	SVM	0.261	female.gibbon
12	Spectrogram 1	1	1053.385	1059.725	500	1600	S11_20180330_140005	RF	0.168	female.gibbon
13	Spectrogram 1	1	2858.935	2865.076	500	1600	S11_20180330_140005	SVM	0.374	female.gibbon
14	Spectrogram 1	1	2858.935	2865.076	500	1600	S11_20180330_140005	RF	0.204	female.gibbon
15	Spectrogram 1	1	3535.038	3542.348	500	1600	S11_20180330_140005	SVM	0.216	female.gibbon
16	Spectrogram 1	1	3535.038	3542.348	500	1600	S11_20180330_140005	RF	0.19	female.gibbon
17	Spectrogram 1	1	4177.129	4182.449	500	1600	S11_20180330_140005	SVM	0.253	female.gibbon
18	Spectrogram 1	1	4177.129	4182.449	500	1600	S11_20180330_140005	RF	0.16	female.gibbon
19	Spectrogram 1	1	4210.43	4216.841	500	1600	S11_20180330_140005	SVM	0.127	female.gibbon
20	Spectrogram 1	1	4210.43	4216.841	500	1600	S11_20180330_140005	RF	0.14	female.gibbon
21	Spectrogram 1	1	5061.819	5067.439	500	1600	S11_20180330_140005	SVM	0.271	female.gibbon
22	Spectrogram 1	1	5061.819	5067.439	500	1600	S11_20180330_140005	RF	0.188	female.gibbon
23	Spectrogram 1	1	5500.373	5505.774	500	1600	S11_20180330_140005	SVM	0.087	female.gibbon
24	Spectrogram 1	1	5500.373	5505.774	500	1600	S11_20180330_140005	RF	0.158	female.gibbon
25	Spectrogram 1	1	5688.72	5694.42	500	1600	S11_20180330_140005	SVM	0.192	female.gibbon
26	Spectrogram 1	1	5688.72	5694.42	500	1600	S11_20180330_140005	RF	0.144	female.gibbon
27	Spectrogram 1	1	6090.993	6109.844	500	1600	S11_20180330_140005	SVM	0.337	female.gibbon
28	Spectrogram 1	1	6090.993	6109.844	500	1600	S11_20180330_140005	RF	0.49	female.gibbon
29	Spectrogram 1	1	6111.384	6129.624	500	1600	S11_20180330_140005	SVM	0.4325	female.gibbon
30	Spectrogram 1	1	6111.384	6129.624	500	1600	S11_20180330_140005	RF	0.44	female.gibbon
31	Spectrogram 1	1	6140.675	6155.205	500	1600	S11_20180330_140005	SVM	0.283	female.gibbon
32	Spectrogram 1	1	6140.675	6155.205	500	1600	S11_20180330_140005	RF	0.438	female.gibbon
33	Spectrogram 1	1	7149.224	7162.875	500	1600	S11_20180330_140005	SVM	0.286	female.gibbon
34	Spectrogram 1	1	7149.224	7162.875	500	1600	S11_20180330_140005	RF	0.166	female.gibbon
